16,14,16
4,19,71
15,20,45
3,6,34
18,3,13
5,0,56
15,3,13
2,3,44
13,3,56
1,16,114
12,8,133
20,4,50
3,6,34
13,2,13
0,20,121
8,13,134
21,5,114
2,13,17
20,11,16
9,4,56
13,22,45
5,9,34
18,3,13
6,4,44
16,14,16
23,22,25
4,20,71
12,20,45
18,21,121
6,4,44
15,20,45
1,16,114
13,4,56
16,14,97
5,8,34
13,20,45
0,20,121
13,20,45
5,8,34
20,4,50
5,21,71
21,7,86
5,20,71
16,3,13
9,4,56
15,20,45
22,15,114
12,21,45
18,4,50
6,23,56
17,8,86
14,18,45
2,0,52
17,5,86
3,19,71
17,6,86
7,1,56
0,2,25
16,6,86
7,16,17
0,9,114
10,14,133
5,14,17
21,17,121
11,2,56
1,4,25
16,6,86
7,12,77
14,14,45
5,6,44
12,1,56
2,0,52
18,12,16
7,13,17
3,19,71
5,14,17
20,17,121
4,10,77
12,10,133
1,18,121
11,11,133
17,11,16
21,4,25
10,3,56
0,7,114
6,6,34
16,6,86
3,11,77
12,23,56
1,0,52
11,2,56
19,19,121
14,11,133
0,11,77
12,10,133
1,18,121
11,11,133
21,17,121
0,2,25
17,11,16
0,7,44
7,13,17
20,7,86
11,6,133
12,22,56
17,11,16
19,1,13
5,7,34
22,14,114
15,18,45
7,18,45
2,0,52
20,2,25
14,18,45
9,23,56
21,14,114
12,6,86
11,2,56
9,9,133
8,3,56
14,10,133
17,21,13
20,21,121
22,7,114
9,9,133
17,11,16
0,13,114
7,13,17
14,18,45
18,12,16
3,14,17
14,14,45
19,19,121
2,17,17
14,15,45
11,11,133
16,0,45
12,1,56
9,3,56
2,0,52
2,21,52
21,7,114
8,6,34
15,9,86
14,16,45
8,17,45
3,16,17
4,10,77
3,19,52
12,18,45
