19,2
12,4
7,4
1,8
3,14
2,2
22,4
23,10
23,18
20,23
10,14
22,4
14,2
1,8
3,12
17,11
1,18
3,14
1,21
7,18
21,23
18,15
16,5
3,5
14,16
15,16
2,16
20,12
0,4
17,13
12,18
23,2
5,2
11,8
9,8
1,10
12,4
23,18
6,23
6,8
20,22
19,9
11,11
0,15
14,2
22,13
10,16
12,11
5,14
18,2
23,2
22,17
20,12
19,0
18,15
12,18
23,7
7,18
1,8
10,21
14,4
0,15
0,17
7,16
4,5
4,11
6,4
15,16
21,10
23,6
10,21
11,14
22,4
0,16
8,11
13,20
8,13
18,2
20,12
16,7
10,15
14,7
12,18
14,23
17,9
20,4
19,17
14,11
14,6
4,16
9,20
12,9
4,16
20,4
18,0
0,4
12,14
6,0
14,16
2,0
16,16
7,5
5,2
3,3
16,15
8,22
10,3
20,12
17,17
1,22
9,16
14,11
15,11
2,6
5,10
15,7
10,15
23,12
10,14
11,1
10,15
20,22
9,8
20,8
23,15
12,17
20,8
15,22
5,7
17,4
5,2
21,11
6,8
11,20
14,22
13,14
3,5
4,8
9,3
17,1
21,19
7,16
5,14
12,2
15,14
4,8
9,6
4,22
0,7
20,4
