8,13,27
11,1,76
19,1,2
5,12,117
13,2,97
21,4,53
9,23,123
15,7,54
23,0,45
11,18,114
2,5,123
13,22,77
4,19,109
14,11,13
5,11,117
12,8,54
5,11,117
13,2,97
3,3,123
12,12,49
0,2,20
15,7,54
7,21,109
15,15,82
22,11,32
8,1,123
19,20,77
8,13,27
18,11,32
10,4,86
22,15,32
12,2,76
20,13,32
18,13,32
10,5,86
18,11,32
8,1,123
20,13,32
10,2,76
20,13,32
7,0,123
21,15,87
14,11,13
7,13,86
8,18,123
23,0,45
20,18,77
15,4,21
13,2,97
13,16,49
4,10,50
19,8,28
4,19,109
23,2,53
18,8,54
11,14,49
2,23,20
4,6,28
1,19,109
4,7,28
18,13,32
17,23,146
11,12,86
17,13,82
6,12,117
13,19,77
5,14,117
16,2,146
8,17,27
7,3,123
0,8,28
11,8,86
23,4,53
14,11,13
1,20,109
19,8,28
11,5,54
15,18,77
16,2,21
15,7,54
17,13,82
18,13,32
17,12,82
15,15,82
8,1,123
0,16,109
12,5,54
22,15,32
19,18,77
5,21,20
22,15,87
18,19,77
18,11,28
19,17,77
22,3,2
22,15,32
20,18,77
16,0,146
11,0,76
13,23,146
5,16,109
3,19,109
7,21,123
2,7,28
17,3,21
11,22,114
4,10,50
22,22,109
17,6,28
7,16,27
23,20,109
3,19,109
17,1,146
12,22,114
5,6,50
12,22,114
12,8,86
9,23,76
0,15,117
1,13,117
17,3,21
19,23,109
17,2,146
14,11,54
7,6,50
3,8,28
16,16,125
7,6,50
23,4,53
18,16,77
10,19,114
22,15,32
15,22,146
10,10,86
10,19,27
0,9,28
15,16,125
0,2,20
16,16,125
11,14,49
0,12,117
21,7,28
4,21,20
3,19,109
19,0,146
3,12,50
17,0,146
12,19,114
4,10,50
3,19,109
