0,3,nil
6,17,nil
13,15,nil
15,21,nil
22,20,nil
1,6,nil
8,7,nil
15,14,nil
22,9,nil
3,7,nil
8,7,nil
16,3,nil
17,2,nil
5,16,nil
5,21,nil
13,17,nil
21,8,nil
3,7,nil
10,4,nil
15,0,nil
23,16,nil
5,6,nil
10,7,nil
16,10,nil
1,7,nil
6,17,nil
13,15,nil
20,16,nil
1,12,nil
8,7,nil
12,2,nil
0,16,nil
3,6,nil
7,0,nil
21,15,nil
6,23,nil
7,14,nil
11,6,nil
0,15,nil
6,4,nil
14,17,nil
6,0,nil
3,11,nil
17,20,nil
1,8,nil
5,17,nil
10,20,nil
20,8,nil
5,17,nil
12,1,nil
18,11,nil
3,3,nil
16,11,nil
5,14,nil
11,18,nil
23,12,nil
10,13,nil
22,0,nil
11,2,nil
23,18,nil
17,21,nil
9,19,nil
18,20,nil
12,17,nil
0,17,nil
16,11,nil
6,3,nil
18,9,nil
6,22,nil
21,2,nil
11,18,nil
1,19,nil
11,2,nil
21,21,nil
12,10,nil
22,0,nil
19,0,nil
19,7,nil
5,7,nil
21,2,nil
14,7,nil
6,15,nil
22,20,nil
4,11,nil
18,7,nil
10,21,nil
18,20,nil
12,11,nil
23,18,nil
16,3,nil
18,9,nil
10,13,nil
3,5,nil
16,10,nil
9,19,nil
2,3,nil
18,9,nil
9,14,nil
0,7,nil
20,6,nil
8,5,nil
14,10,nil
20,6,nil
12,13,nil
23,21,nil
11,3,nil
4,14,nil
18,17,nil
10,16,nil
21,4,nil
7,12,nil
0,13,nil
18,22,nil
10,15,nil
21,0,nil
9,21,nil
0,10,nil
14,19,nil
5,23,nil
16,9,nil
7,13,nil
17,20,nil
10,22,nil
1,11,nil
22,0,nil
11,14,nil
6,0,nil
22,11,nil
16,11,nil
11,8,nil
1,10,nil
4,21,nil
16,9,nil
3,18,nil
12,17,nil
2,14,nil
12,11,nil
1,9,nil
12,10,nil
22,0,nil
16,10,nil
13,19,nil
2,17,nil
11,18,nil
0,4,nil
8,5,nil
14,1,nil
8,5,nil
22,0,nil
15,6,nil
