12,6
13,15
13,5
17,22
17,23
19,16
18,9
18,4
18,19
19,11
3,7
22,23
23,16
22,0
23,20
6,10
2,22
3,9
4,4
7,9
10,2
12,6
9,18
14,5
16,17
19,3
19,16
22,0
1,11
22,23
3,11
3,9
3,0
6,5
7,12
8,19
16,19
17,23
19,3
3,4
1,11
3,12
8,17
7,23
12,6
14,8
17,16
21,17
2,22
2,1
9,9
15,5
14,11
16,13
20,17
1,16
3,17
9,16
10,14
14,11
15,12
18,6
18,5
3,4
2,4
6,23
14,15
14,16
16,13
18,6
23,4
6,20
11,11
12,11
16,2
21,17
23,8
3,1
6,20
12,11
11,4
2,15
2,4
3,17
10,4
16,2
22,6
4,11
11,14
13,2
19,8
1,20
6,5
10,15
15,4
19,8
1,19
3,4
15,5
16,13
23,19
3,17
20,15
8,20
14,19
20,0
3,4
5,5
12,8
16,9
3,18
10,14
15,16
20,0
1,18
5,19
16,23
20,16
3,0
6,22
11,15
17,19
23,13
4,18
12,11
15,7
6,23
21,17
1,19
8,14
12,8
20,23
3,0
8,14
16,9
22,4
5,23
14,21
1,16
2,4
15,7
3,13
14,21
13,23
20,0
15,6
19,21
22,8
6,23
2,19
