4,15
22,21
12,22
17,20
21,4
10,4
23,11
11,16
15,12
12,9
8,18
0,19
9,0
13,3
19,22
9,19
8,14
6,9
1,21
1,19
8,12
11,21
13,17
0,4
13,2
0,9
9,15
11,16
10,12
0,5
15,17
13,14
19,3
0,9
15,12
11,16
0,1
10,5
16,5
12,18
15,12
20,20
13,17
3,20
1,21
17,5
22,16
5,18
19,1
1,14
15,6
7,17
11,21
9,10
7,0
7,10
7,13
10,10
11,21
18,13
0,9
5,8
0,21
7,13
5,6
4,10
12,10
7,13
20,21
17,14
0,9
9,18
0,5
11,5
15,12
0,3
9,19
9,10
11,5
20,20
17,5
20,16
6,12
15,5
23,6
0,14
9,15
3,17
1,13
13,15
13,14
1,6
6,18
11,22
9,7
1,14
3,12
1,19
13,22
11,6
5,5
6,5
17,5
7,11
4,6
20,17
18,13
5,17
6,19
11,1
15,12
14,22
19,5
0,9
22,21
15,20
20,5
14,21
9,15
1,6
0,9
8,14
7,2
12,10
12,6
15,13
15,5
23,20
17,17
21,0
13,15
11,21
17,14
4,6
22,21
3,22
11,17
15,6
19,1
12,13
15,10
23,3
17,17
23,3
5,2
22,21
12,3
17,4
23,6
11,14
