0,20
16,22
3,23
17,1
23,20
3,0
18,3
8,0
8,23
12,11
16,5
2,9
14,11
8,2
9,20
4,21
4,6
14,18
12,23
16,21
0,20
4,12
23,21
19,5
13,11
18,18
4,21
8,17
4,18
9,10
10,3
9,18
20,5
2,9
4,1
8,12
1,8
4,10
10,12
8,7
10,3
21,20
20,23
19,4
10,3
21,8
14,21
2,21
8,12
1,8
13,3
3,11
6,17
1,8
22,1
7,20
23,0
12,17
8,7
21,23
22,5
2,9
5,1
22,16
6,0
17,9
10,12
23,20
15,6
15,3
20,11
9,15
22,15
8,12
18,3
22,15
15,6
4,9
4,18
2,9
19,5
15,4
13,16
8,2
22,5
2,9
3,23
23,8
20,13
8,7
9,17
20,5
15,1
8,22
4,2
2,15
19,17
16,21
12,11
8,0
13,6
4,4
22,6
22,5
1,16
16,18
22,8
23,8
0,20
9,15
11,19
18,18
18,20
0,19
16,9
23,20
9,20
6,6
23,15
9,15
18,17
7,20
16,21
4,17
7,18
19,17
18,17
2,9
8,0
8,9
13,11
4,4
13,23
12,21
20,14
18,3
18,17
13,3
15,18
1,8
0,2
14,21
14,13
10,3
2,21
14,13
7,20
9,18
16,5
2,16
